k,gamma
100,-0.20426532220474647
101,-0.20595952664310296
102,-0.20168256663557033
103,-0.22123362700936777
104,-0.20420391217678757
105,-0.1982387551864184
106,-0.1894511458798772
107,-0.200456158647509
108,-0.18445576349104648
109,-0.17950155776532606
110,-0.16543930574621118
111,-0.15653609387867456
112,-0.16459624328791023
113,-0.1723747365610242
114,-0.16456387541822293
115,-0.17499538029660597
116,-0.18506238961088833
117,-0.18947310427373584
118,-0.19423785223601142
119,-0.18158020823837345
120,-0.16720418642482515
121,-0.18332987331886635
122,-0.17259830015768413
123,-0.1678207804760332
124,-0.19614163298605378
125,-0.1925435480379823
126,-0.1994955789603025
127,-0.19785782625418852
128,-0.2180231997245004
129,-0.20295085007125208
130,-0.20140659224607285
131,-0.21663475309838842
132,-0.21063684702763963
133,-0.2005905449694631
134,-0.21503059058138024
135,-0.20165124481206811
136,-0.1960581285907635
137,-0.1911629703373028
138,-0.18857746112924628
139,-0.18738962253215263
140,-0.17942159378005207
141,-0.1666716252491608
142,-0.16674848709428094
143,-0.15445830453500026
144,-0.1439132827128991
145,-0.1397288372301607
146,-0.14066002093210644
147,-0.17543270005343176
148,-0.17221587784180914
149,-0.1648122513200618
150,-0.15669188706683743
151,-0.15141988672382128
152,-0.14880534938226592
153,-0.16603979736863111
154,-0.1608727133872494
155,-0.15432328588631167
156,-0.16128415888541267
157,-0.15623624230804728
158,-0.1925214583885549
159,-0.1830593687201248
160,-0.17284636364241798
161,-0.16758453102308526
162,-0.16082345314424173
163,-0.15531074794557814
164,-0.14538998135631553
165,-0.13633246923088232
166,-0.12951429140945042
167,-0.1249773123611673
168,-0.12135672171268201
169,-0.11268238771840297
170,-0.11275372288189477
171,-0.10492786934793374
172,-0.10036173421898115
173,-0.11224497845870472
174,-0.1173540979956313
175,-0.13539185279059895
176,-0.14289089703086563
177,-0.14141739315654478
178,-0.13278705781595515
179,-0.12453746546863678
180,-0.12737460280398807
181,-0.15663500476704129
182,-0.14738753615466144
183,-0.1458214268473983
184,-0.15075240953268804
185,-0.14401138041838674
186,-0.136597567568852
187,-0.1358398748457852
188,-0.13220537573420113
189,-0.12499254274823969
190,-0.12409390180010223
191,-0.12440718720796934
192,-0.11666149221138616
193,-0.10834293174503888
194,-0.11205451374507433
195,-0.11209392676384247
196,-0.11807972318007147
197,-0.11228028295342495
198,-0.1053910783070203
199,-0.09915855958106529
200,-0.09228813432611031
201,-0.09421771301392873
202,-0.09046110061542861
203,-0.1225697331133882
204,-0.12024693614027608
205,-0.11645768790232364
206,-0.11619351399080755
207,-0.1084310626064702
208,-0.11748196645059243
209,-0.14030762599926683
210,-0.14811515057876928
211,-0.14845634180263023
212,-0.16625110212370173
213,-0.15830316522347126
214,-0.16661652141129019
215,-0.18283304129314532
216,-0.1761437580822774
217,-0.17005495251618907
218,-0.16375507168258496
219,-0.1591158019948185
220,-0.1520248203466401
221,-0.1621420889873807
222,-0.18048692474355796
223,-0.18568958734207658
224,-0.18031943573769788
225,-0.19604524763696543
226,-0.2064302089678436
227,-0.19963424065562846
228,-0.20016556052915935
229,-0.19942601098830925
230,-0.1956981163688762
231,-0.1911071382225289
232,-0.20039376697075614
233,-0.199313070649356
234,-0.19225722108252352
235,-0.1847205050691222
236,-0.18161724465773915
237,-0.17423488200242243
238,-0.16993289545010287
239,-0.16512697996824793
240,-0.15939847214644165
241,-0.15305526265152228
242,-0.1485138534266407
243,-0.1421848432686399
244,-0.135277540263314
245,-0.13577773923832875
246,-0.13271841113573918
247,-0.13269697837585095
248,-0.12645095507246085
249,-0.12384494482856909
250,-0.11848610698130924
251,-0.1119914354049881
252,-0.11817104729731973
253,-0.1267984826703739
254,-0.1237316579829994
255,-0.14063781633030475
256,-0.136143398130122
257,-0.15178248613874
258,-0.15543638610247762
259,-0.15586217437033217
260,-0.15182638066017784
261,-0.1462292060936191
262,-0.1398826498571471
263,-0.143059756272069
264,-0.1544700392505699
265,-0.15094403090441788
266,-0.1526451178337353
267,-0.1472582589639905
268,-0.16269446328501452
269,-0.15789101860588034
270,-0.15259699969904494
271,-0.15110666049776436
272,-0.1492933732904629
273,-0.15535536023992205
274,-0.1492653653801486
275,-0.14644545049460522
276,-0.14133157471306873
277,-0.14142339250936686
278,-0.13735421145954715
279,-0.13285159368158683
280,-0.12776155807139128
281,-0.12259005877005415
282,-0.12803071653771275
283,-0.12234888119081672
284,-0.1228041919396149
285,-0.12521795421005638
286,-0.1209945715546848
287,-0.13807392761865123
288,-0.1361365004320056
289,-0.13214405490227954
290,-0.1265476950888736
291,-0.13386642794125808
292,-0.14438778195013985
293,-0.1633088942364483
294,-0.15753216790009003
295,-0.16514089027552492
296,-0.1611864990233613
297,-0.17540184059833897
298,-0.1816092588148662
299,-0.1795955855042916
300,-0.18947187172349517
301,-0.18306443661915195
302,-0.18245299480695254
303,-0.17760777743612255
304,-0.1727496167896755
305,-0.17547925780207216
306,-0.17430878714263098
307,-0.16934985456099133
308,-0.18235016629518347
309,-0.18310445543913387
310,-0.17782869621381867
311,-0.19406795126534812
312,-0.2094847385067173
313,-0.20650894361653616
314,-0.20068589199526726
315,-0.19744757266140983
316,-0.19232109613991155
317,-0.18767120206002652
318,-0.18174929513858146
319,-0.17926622747002863
320,-0.18198374206363882
321,-0.19193707976845165
322,-0.18603423605045086
323,-0.18023526632190173
324,-0.19146683806453485
325,-0.1911399491822891
326,-0.18768939124021045
327,-0.1822391369100264
328,-0.1831919008363342
329,-0.1793924439736946
330,-0.17768022785676413
331,-0.17904917892777172
332,-0.17480356566299304
333,-0.17545738308508307
334,-0.1702242087819618
335,-0.17507765478317125
336,-0.17039171550020682
337,-0.17093628860404558
338,-0.1761987489803355
339,-0.17089050319478355
340,-0.1751496983507701
341,-0.17596513839625244
342,-0.17420740868252732
343,-0.18441028516715408
344,-0.18076140577531002
345,-0.1787974161721183
346,-0.17481600895725047
347,-0.18619591341089203
348,-0.18419571026854936
349,-0.18268804253894327
350,-0.17744428041069005
351,-0.1745106207760277
352,-0.1781815394039398
353,-0.1745052079199067
354,-0.17128995996675928
355,-0.16655012973408226
356,-0.1741629314055407
357,-0.17258594317012332
358,-0.16758520036244684
359,-0.16361070200096178
360,-0.17695063787826615
