k,gamma
100,-0.21962846707849643
101,-0.24994045622289776
102,-0.2473426415322908
103,-0.22724677913307392
104,-0.23009010268246216
105,-0.21616445433570652
106,-0.20428748480799902
107,-0.2083251045313969
108,-0.2029801148762886
109,-0.19278714775668201
110,-0.19190887799509032
111,-0.19048782427495276
112,-0.17417408676673707
113,-0.2886551594128721
114,-0.2719460621168816
115,-0.25876927233562985
116,-0.241380591624545
117,-0.28768001173189817
118,-0.3001298846893695
119,-0.29013105202620365
120,-0.27731543194360747
121,-0.28130872985806493
122,-0.2706224248581043
123,-0.29269082926901463
124,-0.2847683050107409
125,-0.2684649898995497
126,-0.2818789928809573
127,-0.2663190237681553
128,-0.2815054016222397
129,-0.28187068181605307
130,-0.27877177936820097
131,-0.27090488274855384
132,-0.2612978133339189
133,-0.24563633982035554
134,-0.2336439841019341
135,-0.2428180023643764
136,-0.23768378752275798
137,-0.2299181045779844
138,-0.2260768771106878
139,-0.23242037813647506
140,-0.24973251633988158
141,-0.24438228716019725
142,-0.25148291816534346
143,-0.2429438552143269
144,-0.2317259897636002
145,-0.2230733404283511
146,-0.2098386757166502
147,-0.2108245465498395
148,-0.20284790239758402
149,-0.20054002434446475
150,-0.231928571472566
151,-0.22064524345352454
152,-0.2114850829521982
153,-0.204891301528044
154,-0.1967674872095902
155,-0.18964345903023405
156,-0.18084262063592027
157,-0.17316639382746235
158,-0.18979807774019763
159,-0.1781295211551625
160,-0.19333654917341647
161,-0.18404594718398964
162,-0.17742272215934823
163,-0.17389227856252554
164,-0.16879318035211094
165,-0.16754236881426815
166,-0.17206795759731758
167,-0.16495094803028063
168,-0.15600830896355852
169,-0.15749199407624764
170,-0.1519450707908404
171,-0.1420848209967569
172,-0.13823761853041022
173,-0.12902095020828075
174,-0.12981942338026625
175,-0.1239115709978344
176,-0.12956689037029345
177,-0.12372182444240586
178,-0.12324129362260411
179,-0.12758814141396485
180,-0.12932996673798214
181,-0.12477556735248359
182,-0.12366548908663019
183,-0.1234019808363553
184,-0.12268248205940745
185,-0.12436936289385465
186,-0.1162417585489155
187,-0.10895530222516217
188,-0.10719071439855693
189,-0.10709442748668592
190,-0.10403471871099929
191,-0.1032343281136815
192,-0.10160643347949035
193,-0.10088498945831852
194,-0.1484642225598909
195,-0.14349939666592554
196,-0.14431243545671146
197,-0.1400704926650646
198,-0.13892912531301777
199,-0.1311393848382435
200,-0.12817962757813137
201,-0.12336219748416873
202,-0.12285696894244877
203,-0.11524181051442663
204,-0.10960016356570543
205,-0.12425167514479901
206,-0.12634240657389423
207,-0.13738960511411663
208,-0.14383694042851586
209,-0.13820790672126623
210,-0.13670239091378392
211,-0.14184501084206713
212,-0.13479342210122114
213,-0.1409726066909932
214,-0.14562391689780346
215,-0.13876812216716553
216,-0.13501087719066454
217,-0.13475617855835434
218,-0.13410239582408617
219,-0.15035639330893724
220,-0.14323573920208565
221,-0.1355118589010745
222,-0.13729470484458645
223,-0.1296807014201242
224,-0.12341142644934394
225,-0.12265862891084331
226,-0.12167327745712175
227,-0.13302238580450118
228,-0.16288922240495612
229,-0.16199107804530632
230,-0.16514384170189253
231,-0.1619915196997847
232,-0.16026746142396892
233,-0.17078615405970993
234,-0.16334374561715545
235,-0.16492653468023133
236,-0.1587937389640381
237,-0.16475703648184462
238,-0.1667019089889152
239,-0.15905567807183907
240,-0.17257917061456185
241,-0.1649481774563565
242,-0.17270361372599413
243,-0.1702146291037351
244,-0.16755498895608784
245,-0.16527700880529714
246,-0.1783059773715022
247,-0.17467784550243048
248,-0.17066254840003886
249,-0.17541640521776872
250,-0.17299682880358436
251,-0.172941699970349
252,-0.1842735510133397
253,-0.17971480015456912
254,-0.17578851858564226
255,-0.17167406253277473
256,-0.16887864891800697
257,-0.16547429248754414
258,-0.16627658873893322
259,-0.16496621475733148
260,-0.15875488155571202
261,-0.15612415492231918
262,-0.14996115223641482
263,-0.15558451924894562
264,-0.14973427088256297
265,-0.14556751242804167
266,-0.1622052480587015
267,-0.1711823617508927
268,-0.1655330285531968
269,-0.15976752721054444
270,-0.16303538906492226
271,-0.16643268971892905
272,-0.1601428611412527
273,-0.15832787746406624
274,-0.17007650579776148
275,-0.17089326665520976
276,-0.1657620284688261
277,-0.16056833321623176
278,-0.15831948817964925
279,-0.15838219245714963
280,-0.1585195835112645
281,-0.16046776549146222
282,-0.15485358999894264
283,-0.1556571042750744
284,-0.15450484212676469
285,-0.14824809921806853
286,-0.151591493511393
287,-0.14911459983811837
288,-0.1518547399167252
289,-0.15874607982602806
290,-0.16258679261024225
291,-0.16547997510286447
292,-0.16820285615327257
293,-0.16205320208663523
294,-0.16211009130387183
295,-0.16124736366084547
296,-0.15574359123793455
297,-0.15062734255721308
298,-0.1580794990340595
299,-0.15536457215325325
300,-0.15893407676717347
301,-0.16141249000620217
302,-0.15540930508054507
303,-0.1528201754435632
304,-0.14847394501184533
305,-0.1450793927192735
306,-0.16076948798530924
307,-0.15928742103135268
308,-0.1537039730584927
309,-0.14919628836539658
310,-0.1478269217022994
311,-0.17076602566895543
312,-0.1715443796275507
313,-0.18240071955198942
314,-0.1781660795841457
315,-0.1732249735463884
316,-0.1696739352032538
317,-0.1655458472844299
318,-0.16026287037826326
319,-0.16132537259986984
320,-0.16421287194131817
321,-0.1613263559239534
322,-0.15849115106895476
323,-0.15694986132370387
324,-0.15752331481071424
325,-0.15482563384986647
326,-0.1499120473824314
327,-0.14724113089996757
328,-0.15839428190719287
329,-0.16481077158124477
330,-0.16679549807870786
331,-0.19414655786690949
332,-0.1935422657998474
333,-0.19598437863277082
334,-0.19009723862746247
335,-0.19024455641013413
336,-0.1956185731530941
337,-0.19143963193796554
338,-0.18853751619033043
339,-0.19003035619461203
340,-0.18842670627419428
341,-0.18299462228867003
342,-0.184520218459569
343,-0.18207904555298476
344,-0.180540472824176
345,-0.1769667662139376
346,-0.17416881482373162
347,-0.17700443894692008
348,-0.18537705247847763
349,-0.18141879200083771
350,-0.17634495031863828
351,-0.1828760107190525
352,-0.17814492135035465
353,-0.17477973341550268
354,-0.17764740936766182
355,-0.18821385645776065
356,-0.1851594222362863
357,-0.1797888419791897
358,-0.1817925015755613
359,-0.18330902440200253
360,-0.18566145023876435
361,-0.18303243993882817
362,-0.179772045878755
363,-0.17693114803929272
364,-0.17900652058415634
365,-0.17750566673928808
366,-0.17482165239501984
367,-0.1782014523927644
368,-0.1745136770671792
369,-0.19247913101185715
370,-0.19195156112500772
371,-0.1866641101487324
372,-0.18185810135111735
373,-0.17721251786857622
374,-0.17244886736101384
375,-0.17754639485636203
376,-0.19030930957071995
377,-0.1911379338147388
378,-0.18737605490488668
379,-0.18368194794231546
380,-0.18087618991004295
381,-0.175980451019854
382,-0.18849843089007118
383,-0.19698341736040717
384,-0.21591441695462277
385,-0.2207218697079758
386,-0.2190448407969851
387,-0.21591035713820844
388,-0.21201256576409835
389,-0.21076249532334657
390,-0.20599480234487777
391,-0.2118760913035656
392,-0.20858150832535136
393,-0.2124799889326886
394,-0.21176965580910562
395,-0.21530140682583432
396,-0.2103828227581105
397,-0.2100041192672248
398,-0.2108513528127095
399,-0.20682909447827275
400,-0.20449934136813608
401,-0.20105858060206927
402,-0.19720450364835795
403,-0.19714072016131978
404,-0.19441430228196319
405,-0.20450418566514114
406,-0.20910084867505346
407,-0.2041509339525222
408,-0.19968686204650074
409,-0.19999283094426618
410,-0.2022603539735547
411,-0.1985621424396668
412,-0.1981139802325222
413,-0.1949219937354778
414,-0.1952614547723639
415,-0.1976668025231903
416,-0.19529599368766257
417,-0.19102970643460407
418,-0.18647969825711724
419,-0.18539821258694736
420,-0.19785661726782716
421,-0.19309753198935645
422,-0.20583828806178356
423,-0.20250109717706913
424,-0.207574102433757
425,-0.20847579578174952
426,-0.209960617691676
427,-0.20759861753619802
428,-0.20832579348663532
429,-0.20428401808116248
430,-0.19967628142611826
431,-0.19783462875195057
432,-0.1970134016378542
433,-0.20674847114258882
434,-0.22438944626702015
435,-0.2198368793821964
436,-0.21788651613678148
437,-0.21471181174850762
438,-0.21426525995679935
439,-0.21074598575564285
440,-0.20686972363774497
441,-0.20633815348124246
442,-0.20785675105834267
443,-0.2070553466061187
444,-0.21055433880254354
445,-0.20652367320890092
446,-0.20332801857663185
447,-0.20734380321554327
448,-0.2141461670647522
449,-0.21196473427843107
450,-0.20988115670662386
451,-0.2058586963398954
452,-0.2164509976363634
453,-0.21403721510070023
454,-0.20990277240905933
455,-0.21013940215176088
456,-0.20713507181470708
457,-0.20427549959691588
458,-0.2012220956440528
459,-0.20764009270560427
460,-0.21091794580523437
461,-0.20787385573038475
462,-0.20460250611624067
463,-0.20746439004373016
464,-0.21015718427465127
465,-0.2127261918868934
466,-0.21249822360575354
467,-0.2082698593450469
468,-0.2173211485790426
469,-0.21831195705808346
470,-0.21398001185954618
471,-0.21012950188577625
472,-0.20607148617014748
473,-0.2033324736751061
474,-0.2011097044702537
475,-0.19777657942417462
476,-0.19389404142020347
477,-0.19069797478869605
478,-0.1871801670213415
479,-0.19193853803979385
480,-0.18791839179400194
481,-0.18865034991049714
482,-0.18604047890840814
483,-0.18204231485098943
484,-0.18001725062805785
485,-0.18604543582749314
486,-0.18194728358501402
487,-0.17809249823467316
488,-0.17635941507471906
489,-0.17350171357417843
490,-0.1735417724990871
491,-0.17745914197012033
492,-0.1754255335105045
493,-0.17535304304828345
494,-0.17596604195734122
495,-0.1747005391031696
496,-0.174288494894797
497,-0.17490956060108187
498,-0.17462409171712887
499,-0.17930436289395066
500,-0.18075828015486298
501,-0.17698863624666594
502,-0.17646938852469346
503,-0.17538631554859568
504,-0.1810836945771458
505,-0.17880234575021625
506,-0.17596068763845546
507,-0.17256512352221634
508,-0.17170920061830708
509,-0.17556263002205116
510,-0.17684327196429467
511,-0.17474753105689014
512,-0.17544095394673212
513,-0.17381414954357438
514,-0.17293398771417798
515,-0.16928284288383758
516,-0.16610195994591007
517,-0.16534094499241098
518,-0.16577592622169976
519,-0.16863753957842526
520,-0.16671082213593785
521,-0.17476693161015341
522,-0.17312600477568213
523,-0.1800355873375701
524,-0.1788356593630345
525,-0.17519312616149846
526,-0.17532091676313413
527,-0.1761539227907717
528,-0.1767057407177714
529,-0.17580595545146435
530,-0.17799900217431527
531,-0.17782799590217865
532,-0.17723518045213033
533,-0.17378352711104614
534,-0.18023806327119052
535,-0.18242905769314155
536,-0.1826448818321148
537,-0.1797029980358944
538,-0.1767266770579135
539,-0.17373421772487566
540,-0.1791264396321821
541,-0.17694738500801022
542,-0.17542603169728208
543,-0.1761228782777232
544,-0.1787844322943259
545,-0.1761879738243745
546,-0.17281240519908594
547,-0.1702176627468372
548,-0.17169743625520273
549,-0.17644996000684143
550,-0.17494863538390715
551,-0.17171254845216502
552,-0.16870433488787698
553,-0.16624087348586775
554,-0.16315031373323263
555,-0.16003357978758007
556,-0.15814992933187683
557,-0.15723857667708618
558,-0.1556786065077653
559,-0.1547067151786382
560,-0.151456989520709
561,-0.15127035898276817
562,-0.15033343736257465
563,-0.1475806602111734
564,-0.14921468528825718
565,-0.15190931729849996
566,-0.14904249642682244
567,-0.15358371112090924
568,-0.15186019894859523
569,-0.14920220391392586
570,-0.147663691648638
571,-0.1459733840564851
572,-0.14341274329053896
573,-0.1422384262005504
574,-0.14066987118730256
575,-0.13904566946599892
576,-0.13619850521574461
577,-0.1351884839539301
578,-0.13581257358583784
579,-0.1360010665713296
580,-0.13560258187836388
581,-0.14107984441034058
582,-0.1471354629300094
583,-0.14447725798121402
584,-0.14588024764508423
585,-0.14424490286840516
586,-0.14149916634340864
587,-0.14900227521233117
588,-0.1468941349018147
589,-0.14931056643527726
590,-0.1512873796119897
591,-0.15153484097727457
592,-0.15090555265058136
593,-0.1490746975797581
594,-0.1570252321028566
595,-0.15589112929830623
596,-0.15564112431645594
597,-0.1542258526940207
598,-0.15384162502112955
599,-0.15123895210408136
600,-0.14865428495018743
601,-0.14679994538065616
602,-0.14501569813085483
603,-0.1455706320921819
604,-0.15260589657175372
605,-0.1585166148122528
606,-0.16196113251189947
607,-0.16119191184533793
608,-0.15991679135220338
609,-0.1587298665472247
610,-0.15708462585708471
611,-0.1579624572297119
612,-0.15601728103528006
613,-0.16299892173668845
614,-0.16518167769970915
615,-0.1622274872481075
616,-0.15980134321349612
617,-0.16373973996182511
618,-0.16433219899290766
619,-0.16488395338530495
620,-0.163319852809951
621,-0.1667825407655321
622,-0.16804830374818855
623,-0.18425457231481454
624,-0.18141194767254032
625,-0.1798955779199288
626,-0.18059342915394191
627,-0.17863239663154964
628,-0.17773410228854722
629,-0.17936533769518131
630,-0.17726800793164105
631,-0.17737022427880994
632,-0.17594088956679138
633,-0.1754827797759469
634,-0.17690908825380997
635,-0.17432964038627125
636,-0.1722888669492848
637,-0.17024582569833882
638,-0.16824744055667004
639,-0.16756718241544225
640,-0.16912525117663096
641,-0.16657039573287719
642,-0.16959549388567638
643,-0.17059594289216345
644,-0.17385275237807116
645,-0.1750882936846797
646,-0.17796323214985485
647,-0.18601492323536709
648,-0.18573981334189194
649,-0.18929309925661528
650,-0.187138764577279
651,-0.18799521395689636
652,-0.18805235454982633
653,-0.18975467555421693
654,-0.19234752858587256
655,-0.1904537673908004
656,-0.1955689461379051
657,-0.2001869421787897
658,-0.19859003388283128
659,-0.20410824852334117
660,-0.20398758613836293
661,-0.20187289165818645
662,-0.19989664603304255
663,-0.19748898013066601
664,-0.19904823251691323
665,-0.19624366688128017
666,-0.19504739625664885
667,-0.19266729208906666
668,-0.19377948863384342
669,-0.1946395122803859
670,-0.1970715311033176
671,-0.1951179216772499
672,-0.19295290168899676
673,-0.19522205905169743
674,-0.19243956462679396
675,-0.1948749631692856
676,-0.19373020846021566
677,-0.19759645801244244
678,-0.19538196760286633
679,-0.19414470478207155
680,-0.1978755224631253
681,-0.1961579629503594
682,-0.19360933035828962
683,-0.1961603850044336
684,-0.202923064853546
685,-0.20470940832995665
686,-0.2042018416737937
687,-0.20313902556615146
688,-0.2020160033010971
689,-0.2027959801471487
690,-0.20180138177701742
691,-0.1998232764765001
692,-0.2019063573559172
693,-0.20322727589270181
694,-0.20050572609564463
695,-0.19946073169346729
